Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	NEG
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	21
dt	50.000001E-12
time stamp (ms)	10:46:46 AM
	
Time	Amplitude
2.510000E-8	3.270575E-3
2.515000E-8	3.390502E-3
2.520000E-8	3.351097E-3
2.525000E-8	3.087258E-3
2.530000E-8	2.578426E-3
2.535000E-8	1.882851E-3
2.540000E-8	1.099900E-3
2.545000E-8	1.764637E-4
2.550000E-8	-9.782600E-4
2.555000E-8	-2.220359E-3
2.560000E-8	-3.323686E-3
2.565000E-8	-4.257401E-3
2.570000E-8	-5.067764E-3
2.575000E-8	-5.677677E-3
2.580000E-8	-6.054590E-3
2.585000E-8	-6.326995E-3
2.590000E-8	-6.515452E-3
2.595000E-8	-6.506885E-3
2.600000E-8	-6.203642E-3
2.605000E-8	-5.658832E-3
2.610000E-8	-4.928991E-3
2.615000E-8	-4.015834E-3
2.620000E-8	-2.986177E-3
2.625000E-8	-1.930821E-3
2.630000E-8	-8.771789E-4
2.635000E-8	1.199268E-4
2.640000E-8	9.731203E-4
2.645000E-8	1.685828E-3
2.650000E-8	2.276896E-3
2.655000E-8	2.766883E-3
2.660000E-8	3.095825E-3
2.665000E-8	3.277428E-3
2.670000E-8	3.361377E-3
2.675000E-8	3.404208E-3
2.680000E-8	3.363090E-3
2.685000E-8	3.224318E-3
2.690000E-8	3.025582E-3
2.695000E-8	2.818280E-3
2.700000E-8	2.552728E-3
2.705000E-8	2.138123E-3
2.710000E-8	1.538489E-3
2.715000E-8	8.531935E-4
2.720000E-8	1.353460E-4
2.725000E-8	-6.407517E-4
2.730000E-8	-1.461394E-3
2.735000E-8	-2.271756E-3
2.740000E-8	-3.066700E-3
2.745000E-8	-3.885628E-3
2.750000E-8	-4.673719E-3
2.755000E-8	-5.360728E-3
2.760000E-8	-5.849001E-3
2.765000E-8	-6.129973E-3
2.770000E-8	-6.207068E-3
2.775000E-8	-6.078575E-3
2.780000E-8	-5.706802E-3
2.785000E-8	-5.098602E-3
2.790000E-8	-4.392747E-3
2.795000E-8	-3.647488E-3
2.800000E-8	-2.876530E-3
2.805000E-8	-2.085013E-3
2.810000E-8	-1.293496E-3
2.815000E-8	-4.797072E-4
2.820000E-8	3.563539E-4
2.825000E-8	1.115319E-3
2.830000E-8	1.786909E-3
2.835000E-8	2.386543E-3
2.840000E-8	2.862824E-3
2.845000E-8	3.152362E-3
2.850000E-8	3.241450E-3
2.855000E-8	3.265435E-3
2.860000E-8	3.256869E-3
2.865000E-8	3.148935E-3
2.870000E-8	2.888523E-3
2.875000E-8	2.480771E-3
2.880000E-8	1.911976E-3
2.885000E-8	1.163290E-3
2.890000E-8	3.015302E-4
2.895000E-8	-6.184796E-4
2.900000E-8	-1.567615E-3
2.905000E-8	-2.521889E-3
2.910000E-8	-3.400781E-3
2.915000E-8	-4.152894E-3
2.920000E-8	-4.802212E-3
2.925000E-8	-5.273353E-3
2.930000E-8	-5.532052E-3
2.935000E-8	-5.590302E-3
2.940000E-8	-5.466949E-3
2.945000E-8	-5.197970E-3
2.950000E-8	-4.803925E-3
2.955000E-8	-4.305372E-3
2.960000E-8	-3.698885E-3
2.965000E-8	-3.023869E-3
2.970000E-8	-2.360845E-3
2.975000E-8	-1.708100E-3
2.980000E-8	-1.046790E-3
2.985000E-8	-3.871922E-4
2.990000E-8	2.415668E-4
2.995000E-8	8.977377E-4
3.000000E-8	1.613872E-3
3.005000E-8	2.312874E-3
3.010000E-8	2.902228E-3
3.015000E-8	3.375083E-3
3.020000E-8	3.724584E-3
3.025000E-8	3.889055E-3
3.030000E-8	3.834231E-3
3.035000E-8	3.589238E-3
3.040000E-8	3.193479E-3
3.045000E-8	2.657235E-3
3.050000E-8	1.983932E-3
3.055000E-8	1.214687E-3
3.060000E-8	4.214570E-4
3.065000E-8	-3.460745E-4
3.070000E-8	-1.072488E-3
3.075000E-8	-1.733799E-3
3.080000E-8	-2.300881E-3
3.085000E-8	-2.730904E-3
3.090000E-8	-3.030721E-3
3.095000E-8	-3.258582E-3
3.100000E-8	-3.472737E-3
3.105000E-8	-3.640635E-3
3.110000E-8	-3.685179E-3
3.115000E-8	-3.649201E-3
3.120000E-8	-3.602944E-3
3.125000E-8	-3.507002E-3
3.130000E-8	-3.289421E-3
3.135000E-8	-2.958765E-3
3.140000E-8	-2.533882E-3
3.145000E-8	-1.970226E-3
3.150000E-8	-1.288356E-3
3.155000E-8	-5.944943E-4
3.160000E-8	7.024284E-5
3.165000E-8	7.264137E-4
3.170000E-8	1.296923E-3
3.175000E-8	1.701247E-3
3.180000E-8	2.131271E-3
3.185000E-8	2.609264E-3
