Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	375
dt	50.000001E-12
time stamp (ms)	2:15:44 PM
	
Time	Amplitude
2.610000E-8	5.473802E-3
2.615000E-8	4.910146E-3
2.620000E-8	4.271107E-3
2.625000E-8	3.611510E-3
2.630000E-8	2.929640E-3
2.635000E-8	2.203227E-3
2.640000E-8	1.437408E-3
2.645000E-8	6.407517E-4
2.650000E-8	-1.781770E-4
2.655000E-8	-9.594144E-4
2.660000E-8	-1.615585E-3
2.665000E-8	-2.129557E-3
2.670000E-8	-2.487624E-3
2.675000E-8	-2.641816E-3
2.680000E-8	-2.549301E-3
2.685000E-8	-2.252911E-3
2.690000E-8	-1.834880E-3
2.695000E-8	-1.267798E-3
2.700000E-8	-5.379573E-4
2.705000E-8	2.861111E-4
2.710000E-8	1.129025E-3
2.715000E-8	1.992498E-3
2.720000E-8	2.855971E-3
2.725000E-8	3.609797E-3
2.730000E-8	4.209431E-3
2.735000E-8	4.731969E-3
2.740000E-8	5.211676E-3
2.745000E-8	5.574883E-3
2.750000E-8	5.790751E-3
2.755000E-8	5.917531E-3
2.760000E-8	6.006619E-3
2.765000E-8	6.025465E-3
2.770000E-8	5.907251E-3
2.775000E-8	5.658832E-3
2.780000E-8	5.359015E-3
2.785000E-8	4.995808E-3
2.790000E-8	4.444144E-3
2.795000E-8	3.726297E-3
2.800000E-8	2.993030E-3
2.805000E-8	2.268330E-3
2.810000E-8	1.456254E-3
2.815000E-8	6.219061E-4
2.820000E-8	-1.319195E-4
2.825000E-8	-8.651862E-4
2.830000E-8	-1.617299E-3
2.835000E-8	-2.258050E-3
2.840000E-8	-2.693213E-3
2.845000E-8	-2.974185E-3
2.850000E-8	-3.159214E-3
2.855000E-8	-3.215751E-3
2.860000E-8	-3.064986E-3
2.865000E-8	-2.679507E-3
2.870000E-8	-2.108998E-3
2.875000E-8	-1.384298E-3
2.880000E-8	-4.694277E-4
2.885000E-8	6.064869E-4
2.890000E-8	1.697821E-3
2.895000E-8	2.741184E-3
2.900000E-8	3.770841E-3
2.905000E-8	4.716550E-3
2.910000E-8	5.461809E-3
2.915000E-8	6.022038E-3
2.920000E-8	6.438356E-3
2.925000E-8	6.645658E-3
2.930000E-8	6.583981E-3
2.935000E-8	6.301297E-3
2.940000E-8	5.878126E-3
2.945000E-8	5.316184E-3
2.950000E-8	4.586343E-3
